ReviewText;Review;ReviewLength;PlayHours;DatePosted
Not my cup of tea, I preferred other FromSoftware games by far, but it is objectively a good game, so yea, buy it, it's worth the struggle.;Recommended;113;256.4;03-29-2024
Best game I have ever played.;Recommended;24;118.7;03-29-2024
ya;Recommended;2;96.2;03-29-2024
yes;Recommended;3;30.4;03-29-2024
millions of poor defenseless albinaurics i killed haunts me in my dreams but other than that its a good game;Recommended;89;238.7;03-29-2024
Bro this game done gave me· Acne· AIDS· Allergies· Alice in Wonderland Syndrome (AIWS)· Alzheimer's disease· Anal abscesses· Anal Cancer· Anal Itching· Anal Tear· Anxiety disorders· Arthritis· Asthma· Astigmatism· Autism· Autoimmune diseases· Auto-Brewert syndrome· Attention deficit hyperactivity disorder (ADHD)· Autistic spectrum disorder (ASD)· Asbestosis· Bad breath· Bacterial vaginosis· Benign prostate hyperplasia (BPH)· Bipolar disorder· Body odors· Bone cancer· Bone placement disorder· Bowel cancer· Bloating· Brain cancer· Brain damage· Brain tumours· Bronchitis· Breast cancer· Candidacies· Cataracts· Carpel tunnel syndrome· Changes in bowel movements· Celiac disease· Cervical cancer· Chest infection· Chest pain· Chicken pox· Chlamydia· Chronic fatigue syndrome (CFS)· Chronic illness· Cold sores· Colon cancer· Coma· Congenital Insensitivity to Pain· Conjunctivitis· Constipation· Common cold· COPD· Cough· Crippling depression· Crohn's disease· Corona Virus· Cystic fibrosis· Dehydration· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· diabetes· diarrhea· depression· down syndrome· Dry mouth· Earache· eating disorders· Ebola· eczema· endometriosis· Epilepsy· Erectile dysfunction· eye cancer· eye disorders· Fatigue· fibroids· fibromyalgia· Foreign Accent Syndrome· Farting· flu· food poisoning· Fungal nail infection· Gallbladder cancer· Gallstones· genital herpes· gonorrhea· Gum disease· Graves' disease· hallucinations· Hashimoto's thyroiditis· hay fever· Hearing loss· hepatitis A, B, C, D and E· herpes· high cholesterol· HIV· Hodgkin's disease· Human Werewolf Syndrome· Hutchinson-Gilford Progeria Syndrome· HPV· hypertension· Immediate bowel syndrome· Indigestion· Ingrown toenail· Itching· Itchy bottom· Joint abnormalities· Kidney cancer· Kidney infection· Kidney stones· Leg cramps· Liver cancer· Liver disease· Lung cancer· Measles· Mesothelioma· Mouth cancer· Nasal and sinus cancer· Nosebleed· Obesity· Osteoporosis· Old man syndrome· Pancreatic cancer· Panic disorder· Parkinson's disease· Personality disorder· Persistent Sexual Arousal Syndrome· Prostate cancer· Radiation poisoning· Reactive arthritis· Restless legs syndrome· Walking Corpse Syndrome· Shingles· Shortness of breath· Skin cancer· Sore throat· Sugar cravings· Sunburn· Stiff Person Syndrome· Stoneman Syndrome· Stomach cancer· Stroke· Sexually transmitted diseases (STD's)· toenail fungus· Tuberculosis· T-posing syndrome· Urinary track infection· Vomit disorder· Whooping cough· Yellow fever· Yeast Infection;Recommended;2323;40.5;03-29-2024
Dark Souls Open World;Recommended;18;184.2;03-29-2024
This is the best game i have ever played and i still haven't beat it... Try finger, but hole.;Recommended;75;61.2;03-29-2024
Very nice!;Recommended;9;87.1;03-29-2024
I've spent about 2 hours ingame before I even figured what I was supposed to do.Then I spent another 4 hours at one of the very first waypoints to level and push my equipment.I died numerous times doing so.11/10 would die again!;Recommended;187;6.1;03-29-2024
Not my cup of tea, I preferred other FromSoftware games by far, but it is objectively a good game, so yea, buy it, it's worth the struggle.;Recommended;113;256.4;03-29-2024
Best game I have ever played.;Recommended;24;118.7;03-29-2024
ya;Recommended;2;96.2;03-29-2024
yes;Recommended;3;30.4;03-29-2024
millions of poor defenseless albinaurics i killed haunts me in my dreams but other than that its a good game;Recommended;89;238.7;03-29-2024
Bro this game done gave me· Acne· AIDS· Allergies· Alice in Wonderland Syndrome (AIWS)· Alzheimer's disease· Anal abscesses· Anal Cancer· Anal Itching· Anal Tear· Anxiety disorders· Arthritis· Asthma· Astigmatism· Autism· Autoimmune diseases· Auto-Brewert syndrome· Attention deficit hyperactivity disorder (ADHD)· Autistic spectrum disorder (ASD)· Asbestosis· Bad breath· Bacterial vaginosis· Benign prostate hyperplasia (BPH)· Bipolar disorder· Body odors· Bone cancer· Bone placement disorder· Bowel cancer· Bloating· Brain cancer· Brain damage· Brain tumours· Bronchitis· Breast cancer· Candidacies· Cataracts· Carpel tunnel syndrome· Changes in bowel movements· Celiac disease· Cervical cancer· Chest infection· Chest pain· Chicken pox· Chlamydia· Chronic fatigue syndrome (CFS)· Chronic illness· Cold sores· Colon cancer· Coma· Congenital Insensitivity to Pain· Conjunctivitis· Constipation· Common cold· COPD· Cough· Crippling depression· Crohn's disease· Corona Virus· Cystic fibrosis· Dehydration· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· Dementia· diabetes· diarrhea· depression· down syndrome· Dry mouth· Earache· eating disorders· Ebola· eczema· endometriosis· Epilepsy· Erectile dysfunction· eye cancer· eye disorders· Fatigue· fibroids· fibromyalgia· Foreign Accent Syndrome· Farting· flu· food poisoning· Fungal nail infection· Gallbladder cancer· Gallstones· genital herpes· gonorrhea· Gum disease· Graves' disease· hallucinations· Hashimoto's thyroiditis· hay fever· Hearing loss· hepatitis A, B, C, D and E· herpes· high cholesterol· HIV· Hodgkin's disease· Human Werewolf Syndrome· Hutchinson-Gilford Progeria Syndrome· HPV· hypertension· Immediate bowel syndrome· Indigestion· Ingrown toenail· Itching· Itchy bottom· Joint abnormalities· Kidney cancer· Kidney infection· Kidney stones· Leg cramps· Liver cancer· Liver disease· Lung cancer· Measles· Mesothelioma· Mouth cancer· Nasal and sinus cancer· Nosebleed· Obesity· Osteoporosis· Old man syndrome· Pancreatic cancer· Panic disorder· Parkinson's disease· Personality disorder· Persistent Sexual Arousal Syndrome· Prostate cancer· Radiation poisoning· Reactive arthritis· Restless legs syndrome· Walking Corpse Syndrome· Shingles· Shortness of breath· Skin cancer· Sore throat· Sugar cravings· Sunburn· Stiff Person Syndrome· Stoneman Syndrome· Stomach cancer· Stroke· Sexually transmitted diseases (STD's)· toenail fungus· Tuberculosis· T-posing syndrome· Urinary track infection· Vomit disorder· Whooping cough· Yellow fever· Yeast Infection;Recommended;2323;40.5;03-29-2024
Dark Souls Open World;Recommended;18;184.2;03-29-2024
This is the best game i have ever played and i still haven't beat it... Try finger, but hole.;Recommended;75;61.2;03-29-2024
Very nice!;Recommended;9;87.1;03-29-2024
I've spent about 2 hours ingame before I even figured what I was supposed to do.Then I spent another 4 hours at one of the very first waypoints to level and push my equipment.I died numerous times doing so.11/10 would die again!;Recommended;187;6.1;03-29-2024
Try Skill, become Elden Lord.;Recommended;25;217.3;03-29-2024
maldito pedazo de mierda de juego por dios que asco;Not Recommended;42;92.7;03-29-2024
Is good;Recommended;6;297.1;03-29-2024
Yes;Recommended;3;91.4;03-29-2024
good game;Recommended;8;15.3;03-29-2024
ballrot continent;Not Recommended;16;239.9;03-29-2024
it is so hard you have to play it for days just to get kinda good;Not Recommended;50;8.6;03-29-2024
beep bop bnoop goop;Recommended;16;55.4;03-29-2024
get good or die trying;Recommended;18;66.3;03-29-2024
Im not into soul games, I started back then with sekiro and got beaten up later I started with eldenring and I must say I fricking love this game. The story is so good, the designs of the whole world is just awesome and im hyped about the DLC coming this summer! Would recommend it everytime, oh and PRAISE THE SUN!;Recommended;255;61.8;03-29-2024
Try Skill, become Elden Lord.;Recommended;25;217.3;03-29-2024
maldito pedazo de mierda de juego por dios que asco;Not Recommended;42;92.7;03-29-2024
Is good;Recommended;6;297.1;03-29-2024
Yes;Recommended;3;91.4;03-29-2024
good game;Recommended;8;15.3;03-29-2024
ballrot continent;Not Recommended;16;239.9;03-29-2024
it is so hard you have to play it for days just to get kinda good;Not Recommended;50;8.6;03-29-2024
beep bop bnoop goop;Recommended;16;55.4;03-29-2024
get good or die trying;Recommended;18;66.3;03-29-2024
Im not into soul games, I started back then with sekiro and got beaten up later I started with eldenring and I must say I fricking love this game. The story is so good, the designs of the whole world is just awesome and im hyped about the DLC coming this summer! Would recommend it everytime, oh and PRAISE THE SUN!;Recommended;255;61.8;03-29-2024
this game is goated on folks nem;Recommended;26;174.2;03-29-2024
its ok;Recommended;5;457.9;03-29-2024
